technique_id,name,phases,platforms,permissions
T1598.001,Spearphishing Service,reconnaissance,PRE,None
T1552.007,Container API,credential-access,Containers,"User,Administrator"
T1584.001,Domains,resource-development,PRE,None
T1505.001,SQL Stored Procedures,persistence,"Windows,Linux","Administrator,SYSTEM,root"
T1556.004,Network Device Authentication,"credential-access,defense-evasion,persistence",Network,Administrator
T1561.001,Disk Content Wipe,impact,"Linux,macOS,Windows",None
T1048.003,Exfiltration Over Unencrypted Non-C2 Protocol,exfiltration,"Linux,macOS,Windows",None
T1574.004,Dylib Hijacking,"persistence,privilege-escalation,defense-evasion",macOS,None
T1601.002,Downgrade System Image,defense-evasion,Network,Administrator
T1078.003,Local Accounts,"defense-evasion,persistence,privilege-escalation,initial-access","Linux,macOS,Windows,Containers","Administrator,User"
T1211,Exploitation for Defense Evasion,defense-evasion,"Linux,Windows,macOS",None
T1127,Trusted Developer Utilities Proxy Execution,defense-evasion,Windows,None
T1529,System Shutdown/Reboot,impact,"Linux,macOS,Windows,Network",None
T1218.014,MMC,defense-evasion,Windows,None
T1564.010,Process Argument Spoofing,defense-evasion,Windows,User
T1574.012,COR_PROFILER,"persistence,privilege-escalation,defense-evasion",Windows,"User,Administrator"
T1055.011,Extra Window Memory Injection,"defense-evasion,privilege-escalation",Windows,None
T1053.005,Scheduled Task,"execution,persistence,privilege-escalation",Windows,Administrator
T1205.002,Socket Filters,"defense-evasion,persistence,command-and-control","Linux,macOS,Windows",None
T1560.001,Archive via Utility,collection,"Linux,macOS,Windows",None
T1021.005,VNC,lateral-movement,"Linux,macOS,Windows",None
T1047,Windows Management Instrumentation,execution,Windows,None
T1113,Screen Capture,collection,"Linux,macOS,Windows",None
T1037,Boot or Logon Initialization Scripts,"persistence,privilege-escalation","macOS,Windows,Linux",None
T1557,Adversary-in-the-Middle,"credential-access,collection","Windows,macOS,Linux,Network",None
T1033,System Owner/User Discovery,discovery,"Linux,macOS,Windows",None
T1583,Acquire Infrastructure,resource-development,PRE,None
T1218.011,Rundll32,defense-evasion,Windows,None
T1613,Container and Resource Discovery,discovery,Containers,User
T1583.007,Serverless,resource-development,PRE,None
T1132.001,Standard Encoding,command-and-control,"Linux,macOS,Windows",User
T1027.009,Embedded Payloads,defense-evasion,"macOS,Windows,Linux",None
T1556.003,Pluggable Authentication Modules,"credential-access,defense-evasion,persistence","Linux,macOS",root
T1578.004,Revert Cloud Instance,defense-evasion,IaaS,User
T1592,Gather Victim Host Information,reconnaissance,PRE,None
T1596.003,Digital Certificates,reconnaissance,PRE,None
T1056.001,Keylogging,"collection,credential-access","Windows,macOS,Linux,Network","Administrator,root,SYSTEM,User"
T1222.002,Linux and Mac File and Directory Permissions Modification,defense-evasion,"macOS,Linux","User,root"
T1110.001,Password Guessing,credential-access,"Windows,Azure AD,Office 365,SaaS,IaaS,Linux,macOS,Google Workspace,Containers,Network",None
T1216.001,PubPrn,defense-evasion,Windows,None
T1597.002,Purchase Technical Data,reconnaissance,PRE,None
T1003,OS Credential Dumping,credential-access,"Windows,Linux,macOS","Administrator,SYSTEM,root"
T1129,Shared Modules,execution,Windows,None
T1602,Data from Configuration Repository,collection,Network,None
T1561.002,Disk Structure Wipe,impact,"Linux,macOS,Windows","User,Administrator,root,SYSTEM"
T1498.001,Direct Network Flood,impact,"Windows,Azure AD,Office 365,SaaS,IaaS,Linux,macOS,Google Workspace",None
T1574.007,Path Interception by PATH Environment Variable,"persistence,privilege-escalation,defense-evasion",Windows,None
T1213.002,Sharepoint,collection,"Windows,Office 365",User
T1006,Direct Volume Access,defense-evasion,Windows,Administrator
T1564.008,Email Hiding Rules,defense-evasion,"Windows,Office 365,Linux,macOS,Google Workspace",None
T1491.002,External Defacement,impact,"Windows,IaaS,Linux,macOS",None
T1590.005,IP Addresses,reconnaissance,PRE,None
T1499.001,OS Exhaustion Flood,impact,"Linux,macOS,Windows",None
T1014,Rootkit,defense-evasion,"Linux,macOS,Windows",None
T1546.013,PowerShell Profile,"privilege-escalation,persistence",Windows,"User,Administrator"
T1059.007,JavaScript,execution,"Windows,macOS,Linux","User,Administrator,SYSTEM"
T1590.002,DNS,reconnaissance,PRE,None
T1123,Audio Capture,collection,"Linux,macOS,Windows",User
T1543,Create or Modify System Process,"persistence,privilege-escalation","Windows,macOS,Linux",None
T1133,External Remote Services,"persistence,initial-access","Windows,Linux,Containers,macOS",None
T1546.006,LC_LOAD_DYLIB Addition,"privilege-escalation,persistence",macOS,User
T1539,Steal Web Session Cookie,credential-access,"Linux,macOS,Windows,Office 365,SaaS,Google Workspace",User
T1053.007,Container Orchestration Job,"execution,persistence,privilege-escalation",Containers,User
T1568.002,Domain Generation Algorithms,command-and-control,"Linux,macOS,Windows",User
T1036.007,Double File Extension,defense-evasion,Windows,None
T1548.002,Bypass User Account Control,"privilege-escalation,defense-evasion",Windows,"Administrator,User"
T1016.001,Internet Connection Discovery,discovery,"Windows,Linux,macOS",User
T1548.003,Sudo and Sudo Caching,"privilege-escalation,defense-evasion","Linux,macOS",User
T1560.003,Archive via Custom Method,collection,"Linux,macOS,Windows",None
T1578,Modify Cloud Compute Infrastructure,defense-evasion,IaaS,User
T1069,Permission Groups Discovery,discovery,"Windows,Azure AD,Office 365,SaaS,IaaS,Linux,macOS,Google Workspace,Containers",User
T1114,Email Collection,collection,"Windows,Office 365,Google Workspace,macOS,Linux",User
T1003.002,Security Account Manager,credential-access,Windows,None
T1596.002,WHOIS,reconnaissance,PRE,None
T1542.001,System Firmware,"persistence,defense-evasion",Windows,"Administrator,SYSTEM"
T1594,Search Victim-Owned Websites,reconnaissance,PRE,None
T1069.003,Cloud Groups,discovery,"Azure AD,Office 365,SaaS,IaaS,Google Workspace",None
T1574.011,Services Registry Permissions Weakness,"persistence,privilege-escalation,defense-evasion",Windows,"Administrator,User"
T1596.001,DNS/Passive DNS,reconnaissance,PRE,None
T1499.003,Application Exhaustion Flood,impact,"Windows,Azure AD,Office 365,SaaS,IaaS,Linux,macOS,Google Workspace",None
T1195.001,Compromise Software Dependencies and Development Tools,initial-access,"Linux,macOS,Windows",None
T1588.004,Digital Certificates,resource-development,PRE,None
T1583.002,DNS Server,resource-development,PRE,None
T1561,Disk Wipe,impact,"Linux,macOS,Windows",None
T1071.004,DNS,command-and-control,"Linux,macOS,Windows",None
T1552.005,Cloud Instance Metadata API,credential-access,IaaS,None
T1555.002,Securityd Memory,credential-access,"Linux,macOS",root
T1615,Group Policy Discovery,discovery,Windows,User
T1542.003,Bootkit,"persistence,defense-evasion","Linux,Windows","Administrator,SYSTEM"
T1025,Data from Removable Media,collection,"Linux,macOS,Windows",None
T1218.013,Mavinject,defense-evasion,Windows,None
T1074.001,Local Data Staging,collection,"Linux,macOS,Windows",None
T1036.005,Match Legitimate Name or Location,defense-evasion,"Linux,macOS,Windows,Containers",None
T1587.003,Digital Certificates,resource-development,PRE,None
T1565.001,Stored Data Manipulation,impact,"Linux,macOS,Windows",None
T1110.002,Password Cracking,credential-access,"Linux,macOS,Windows,Office 365,Azure AD,Network",None
T1114.001,Local Email Collection,collection,Windows,User
T1555.001,Keychain,credential-access,macOS,None
T1547,Boot or Logon Autostart Execution,"persistence,privilege-escalation","Linux,macOS,Windows","User,Administrator,root"
T1003.004,LSA Secrets,credential-access,Windows,SYSTEM
T1600,Weaken Encryption,defense-evasion,Network,Administrator
T1606.002,SAML Tokens,credential-access,"Azure AD,SaaS,Windows,Office 365,Google Workspace,IaaS",Administrator
T1489,Service Stop,impact,"Windows,Linux,macOS",None
T1587.001,Malware,resource-development,PRE,None
T1087.002,Domain Account,discovery,"Linux,macOS,Windows",None
T1547.014,Active Setup,"persistence,privilege-escalation",Windows,Administrator
T1564,Hide Artifacts,defense-evasion,"Linux,macOS,Windows,Office 365",None
T1559.002,Dynamic Data Exchange,execution,Windows,User
T1204.002,Malicious File,execution,"Linux,macOS,Windows",None
T1591.003,Identify Business Tempo,reconnaissance,PRE,None
T1592.001,Hardware,reconnaissance,PRE,None
T1080,Taint Shared Content,lateral-movement,"Windows,Office 365,SaaS,Linux,macOS",User
T1484.002,Domain Trust Modification,"defense-evasion,privilege-escalation","Windows,Azure AD",Administrator
T1573.001,Symmetric Cryptography,command-and-control,"Linux,Windows,macOS",None
T1087.001,Local Account,discovery,"Linux,macOS,Windows",None
T1586.001,Social Media Accounts,resource-development,PRE,None
T1562.009,Safe Mode Boot,defense-evasion,Windows,Administrator
T1542.005,TFTP Boot,"defense-evasion,persistence",Network,Administrator
T1543.003,Windows Service,"persistence,privilege-escalation",Windows,None
T1568.001,Fast Flux DNS,command-and-control,"Linux,macOS,Windows",None
T1497.001,System Checks,"defense-evasion,discovery","Linux,macOS,Windows",None
T1053.003,Cron,"execution,persistence,privilege-escalation","Linux,macOS",User
T1069.002,Domain Groups,discovery,"Linux,macOS,Windows",None
T1588.006,Vulnerabilities,resource-development,PRE,None
T1566.002,Spearphishing Link,initial-access,"Linux,macOS,Windows,Office 365,SaaS,Google Workspace",None
T1070.002,Clear Linux or Mac System Logs,defense-evasion,"Linux,macOS",None
T1499.004,Application or System Exploitation,impact,"Windows,Azure AD,Office 365,SaaS,IaaS,Linux,macOS,Google Workspace",None
T1137,Office Application Startup,persistence,"Windows,Office 365","User,Administrator"
T1218.004,InstallUtil,defense-evasion,Windows,User
T1598.003,Spearphishing Link,reconnaissance,PRE,None
T1021.004,SSH,lateral-movement,"Linux,macOS",None
T1098.003,Additional Cloud Roles,persistence,"Office 365,IaaS,SaaS,Google Workspace,Azure AD",None
T1547.012,Print Processors,"persistence,privilege-escalation",Windows,"Administrator,SYSTEM"
T1566.001,Spearphishing Attachment,initial-access,"macOS,Windows,Linux",None
T1027.008,Stripped Payloads,defense-evasion,"macOS,Linux,Windows",None
T1559.001,Component Object Model,execution,Windows,None
T1574.001,DLL Search Order Hijacking,"persistence,privilege-escalation,defense-evasion",Windows,None
T1119,Automated Collection,collection,"Linux,macOS,Windows,IaaS,SaaS",None
T1115,Clipboard Data,collection,"Linux,Windows,macOS",None
T1003.007,Proc Filesystem,credential-access,Linux,root
T1583.005,Botnet,resource-development,PRE,None
T1555.005,Password Managers,credential-access,"Linux,macOS,Windows",User
T1553.001,Gatekeeper Bypass,defense-evasion,macOS,None
T1608.004,Drive-by Target,resource-development,PRE,None
T1007,System Service Discovery,discovery,"Windows,macOS,Linux",None
T1040,Network Sniffing,"credential-access,discovery","Linux,macOS,Windows,Network,IaaS",None
T1553.002,Code Signing,defense-evasion,"macOS,Windows",None
T1530,Data from Cloud Storage,collection,"IaaS,SaaS",None
T1565.003,Runtime Data Manipulation,impact,"Linux,macOS,Windows","User,Administrator,root,SYSTEM"
T1552.002,Credentials in Registry,credential-access,Windows,"Administrator,User"
T1135,Network Share Discovery,discovery,"macOS,Windows,Linux",User
T1120,Peripheral Device Discovery,discovery,"Windows,macOS,Linux","User,Administrator,SYSTEM"
T1590.004,Network Topology,reconnaissance,PRE,None
T1587.002,Code Signing Certificates,resource-development,PRE,None
T1222.001,Windows File and Directory Permissions Modification,defense-evasion,Windows,"User,Administrator,SYSTEM"
T1137.006,Add-ins,persistence,"Windows,Office 365","Administrator,User"
T1505.002,Transport Agent,persistence,"Linux,Windows","SYSTEM,Administrator,root"
T1082,System Information Discovery,discovery,"Windows,IaaS,Linux,macOS,Network",None
T1071,Application Layer Protocol,command-and-control,"Linux,macOS,Windows",None
T1074.002,Remote Data Staging,collection,"Windows,IaaS,Linux,macOS",None
T1053,Scheduled Task/Job,"execution,persistence,privilege-escalation","Windows,Linux,macOS,Containers","Administrator,SYSTEM,User"
T1218.007,Msiexec,defense-evasion,Windows,None
T1590.003,Network Trust Dependencies,reconnaissance,PRE,None
T1498.002,Reflection Amplification,impact,"Windows,Azure AD,Office 365,SaaS,IaaS,Linux,macOS,Google Workspace",None
T1556.002,Password Filter DLL,"credential-access,defense-evasion,persistence",Windows,"Administrator,SYSTEM"
T1505.005,Terminal Services DLL,persistence,Windows,None
T1059.002,AppleScript,execution,macOS,None
T1176,Browser Extensions,persistence,"Linux,macOS,Windows",None
T1499.002,Service Exhaustion Flood,impact,"Windows,Azure AD,Office 365,SaaS,IaaS,Linux,macOS,Google Workspace",None
T1195.003,Compromise Hardware Supply Chain,initial-access,"Linux,macOS,Windows",None
T1106,Native API,execution,"Windows,macOS,Linux",None
T1070.007,Clear Network Connection History and Configurations,defense-evasion,"Linux,macOS,Windows,Network",None
T1558.004,AS-REP Roasting,credential-access,Windows,User
T1584.003,Virtual Private Server,resource-development,PRE,None
T1600.001,Reduce Key Space,defense-evasion,Network,Administrator
T1070.003,Clear Command History,defense-evasion,"Linux,macOS,Windows,Network",None
T1202,Indirect Command Execution,defense-evasion,Windows,None
T1091,Replication Through Removable Media,"lateral-movement,initial-access",Windows,None
T1005,Data from Local System,collection,"Linux,macOS,Windows,Network",None
T1140,Deobfuscate/Decode Files or Information,defense-evasion,"Windows,Linux,macOS",None
T1137.005,Outlook Rules,persistence,"Windows,Office 365","Administrator,User"
T1562,Impair Defenses,defense-evasion,"Windows,Office 365,IaaS,Linux,macOS,Containers,Network",None
T1586.003,Cloud Accounts,resource-development,PRE,None
T1586.002,Email Accounts,resource-development,PRE,None
T1608.001,Upload Malware,resource-development,PRE,None
T1195,Supply Chain Compromise,initial-access,"Linux,Windows,macOS",None
T1190,Exploit Public-Facing Application,initial-access,"Windows,IaaS,Network,Linux,macOS,Containers",None
T1558,Steal or Forge Kerberos Tickets,credential-access,"Windows,Linux,macOS","User,root"
T1555,Credentials from Password Stores,credential-access,"Linux,macOS,Windows",Administrator
T1567,Exfiltration Over Web Service,exfiltration,"Linux,macOS,Windows",None
T1219,Remote Access Software,command-and-control,"Linux,Windows,macOS",None
T1583.001,Domains,resource-development,PRE,None
T1560.002,Archive via Library,collection,"Linux,macOS,Windows",None
T1055.003,Thread Execution Hijacking,"defense-evasion,privilege-escalation",Windows,User
T1036,Masquerading,defense-evasion,"Linux,macOS,Windows,Containers",None
T1546.011,Application Shimming,"privilege-escalation,persistence",Windows,Administrator
T1552,Unsecured Credentials,credential-access,"Windows,Azure AD,Office 365,SaaS,IaaS,Linux,macOS,Google Workspace,Containers","User,Administrator,SYSTEM"
T1547.010,Port Monitors,"persistence,privilege-escalation",Windows,"SYSTEM,Administrator"
T1070.008,Clear Mailbox Data,defense-evasion,"Linux,macOS,Windows,Office 365,Google Workspace",None
T1037.002,Login Hook,"persistence,privilege-escalation",macOS,None
T1055,Process Injection,"defense-evasion,privilege-escalation","Linux,macOS,Windows",None
T1205,Traffic Signaling,"defense-evasion,persistence,command-and-control","Linux,macOS,Windows,Network",None
T1218,System Binary Proxy Execution,defense-evasion,"Windows,Linux,macOS",None
T1070.006,Timestomp,defense-evasion,"Linux,macOS,Windows","root,SYSTEM,User"
T1620,Reflective Code Loading,defense-evasion,"macOS,Linux,Windows",None
T1611,Escape to Host,privilege-escalation,"Windows,Linux,Containers","Administrator,User,root"
T1547.009,Shortcut Modification,"persistence,privilege-escalation",Windows,"Administrator,User"
T1010,Application Window Discovery,discovery,"macOS,Windows,Linux",None
T1087.003,Email Account,discovery,"Windows,Office 365,Google Workspace",User
T1497.003,Time Based Evasion,"defense-evasion,discovery","Linux,macOS,Windows",None
T1218.003,CMSTP,defense-evasion,Windows,User
T1563.001,SSH Hijacking,lateral-movement,"Linux,macOS",root
T1562.002,Disable Windows Event Logging,defense-evasion,Windows,Administrator
T1029,Scheduled Transfer,exfiltration,"Linux,macOS,Windows",None
T1021.002,SMB/Windows Admin Shares,lateral-movement,Windows,"User,Administrator"
T1525,Implant Internal Image,persistence,"IaaS,Containers",User
T1572,Protocol Tunneling,command-and-control,"Linux,macOS,Windows",None
T1218.002,Control Panel,defense-evasion,Windows,"User,Administrator,SYSTEM"
T1599.001,Network Address Translation Traversal,defense-evasion,Network,Administrator
T1608.002,Upload Tool,resource-development,PRE,None
T1547.005,Security Support Provider,"persistence,privilege-escalation",Windows,Administrator
T1550,Use Alternate Authentication Material,"defense-evasion,lateral-movement","Windows,Office 365,SaaS,Google Workspace,IaaS,Containers",None
T1597.001,Threat Intel Vendors,reconnaissance,PRE,None
T1011,Exfiltration Over Other Network Medium,exfiltration,"Linux,macOS,Windows",None
T1602.002,Network Device Configuration Dump,collection,Network,Administrator
T1589,Gather Victim Identity Information,reconnaissance,PRE,None
T1562.004,Disable or Modify System Firewall,defense-evasion,"Linux,macOS,Windows",None
T1560,Archive Collected Data,collection,"Linux,macOS,Windows",None
T1553.003,SIP and Trust Provider Hijacking,defense-evasion,Windows,None
T1185,Browser Session Hijacking,collection,Windows,"Administrator,SYSTEM"
T1021,Remote Services,lateral-movement,"Linux,macOS,Windows",None
T1071.003,Mail Protocols,command-and-control,"Linux,macOS,Windows",None
T1556.007,Hybrid Identity,"credential-access,defense-evasion,persistence","Windows,Azure AD,SaaS,Google Workspace,Office 365,IaaS",None
T1595.002,Vulnerability Scanning,reconnaissance,PRE,None
T1596,Search Open Technical Databases,reconnaissance,PRE,None
T1207,Rogue Domain Controller,defense-evasion,Windows,Administrator
T1553.006,Code Signing Policy Modification,defense-evasion,"Windows,macOS",None
T1610,Deploy Container,"defense-evasion,execution",Containers,"User,root"
T1112,Modify Registry,defense-evasion,Windows,"User,Administrator,SYSTEM"
T1543.004,Launch Daemon,"persistence,privilege-escalation",macOS,Administrator
T1580,Cloud Infrastructure Discovery,discovery,IaaS,None
T1555.003,Credentials from Web Browsers,credential-access,"Linux,macOS,Windows",User
T1574.008,Path Interception by Search Order Hijacking,"persistence,privilege-escalation,defense-evasion",Windows,"Administrator,User,SYSTEM"
T1491,Defacement,impact,"Windows,IaaS,Linux,macOS",None
T1535,Unused/Unsupported Cloud Regions,defense-evasion,IaaS,User
T1557.003,DHCP Spoofing,"credential-access,collection","Linux,Windows,macOS",None
T1563,Remote Service Session Hijacking,lateral-movement,"Linux,macOS,Windows","SYSTEM,root"
T1027.001,Binary Padding,defense-evasion,"Linux,macOS,Windows",None
T1505.003,Web Shell,persistence,"Linux,Windows,macOS,Network",None
T1484.001,Group Policy Modification,"defense-evasion,privilege-escalation",Windows,"Administrator,User"
T1217,Browser Bookmark Discovery,discovery,"Linux,Windows,macOS",User
T1552.004,Private Keys,credential-access,"Linux,macOS,Windows",User
T1583.004,Server,resource-development,PRE,None
T1021.006,Windows Remote Management,lateral-movement,Windows,"User,Administrator"
T1011.001,Exfiltration Over Bluetooth,exfiltration,"Linux,macOS,Windows",None
T1078.001,Default Accounts,"defense-evasion,persistence,privilege-escalation,initial-access","Windows,Azure AD,Office 365,SaaS,IaaS,Linux,macOS,Google Workspace,Containers","Administrator,User"
T1547.003,Time Providers,"persistence,privilege-escalation",Windows,"SYSTEM,Administrator"
T1546.005,Trap,"privilege-escalation,persistence","macOS,Linux","User,Administrator"
T1574.006,Dynamic Linker Hijacking,"persistence,privilege-escalation,defense-evasion","Linux,macOS",User
T1136.001,Local Account,persistence,"Linux,macOS,Windows",Administrator
T1092,Communication Through Removable Media,command-and-control,"Linux,macOS,Windows",None
T1070.001,Clear Windows Event Logs,defense-evasion,Windows,None
T1585.002,Email Accounts,resource-development,PRE,None
T1557.001,LLMNR/NBT-NS Poisoning and SMB Relay,"credential-access,collection",Windows,None
T1222,File and Directory Permissions Modification,defense-evasion,"Linux,Windows,macOS",None
T1003.001,LSASS Memory,credential-access,Windows,None
T1595,Active Scanning,reconnaissance,PRE,None
T1548,Abuse Elevation Control Mechanism,"privilege-escalation,defense-evasion","Linux,macOS,Windows","Administrator,User"
T1134.002,Create Process with Token,"defense-evasion,privilege-escalation",Windows,None
T1548.001,Setuid and Setgid,"privilege-escalation,defense-evasion","Linux,macOS",User
T1547.004,Winlogon Helper DLL,"persistence,privilege-escalation",Windows,"SYSTEM,Administrator"
T1021.003,Distributed Component Object Model,lateral-movement,Windows,"Administrator,SYSTEM"
T1110.003,Password Spraying,credential-access,"Windows,Azure AD,Office 365,SaaS,IaaS,Linux,macOS,Google Workspace,Containers",User
T1090.002,External Proxy,command-and-control,"Linux,macOS,Windows",None
T1056.003,Web Portal Capture,"collection,credential-access","Linux,macOS,Windows",None
T1589.002,Email Addresses,reconnaissance,PRE,None
T1003.005,Cached Domain Credentials,credential-access,Windows,SYSTEM
T1098.004,SSH Authorized Keys,persistence,"Linux,macOS,IaaS",None
T1590.006,Network Security Appliances,reconnaissance,PRE,None
T1546.012,Image File Execution Options Injection,"privilege-escalation,persistence",Windows,"Administrator,SYSTEM"
T1218.008,Odbcconf,defense-evasion,Windows,User
T1593.002,Search Engines,reconnaissance,PRE,None
T1591.002,Business Relationships,reconnaissance,PRE,None
T1125,Video Capture,collection,"Windows,macOS,Linux",User
T1055.013,Process Doppelgänging,"defense-evasion,privilege-escalation",Windows,"Administrator,SYSTEM,User"
T1016,System Network Configuration Discovery,discovery,"Linux,macOS,Windows,Network",None
T1578.003,Delete Cloud Instance,defense-evasion,IaaS,User
T1593.003,Code Repositories,reconnaissance,PRE,None
T1574.005,Executable Installer File Permissions Weakness,"persistence,privilege-escalation,defense-evasion",Windows,"Administrator,User"
T1546.008,Accessibility Features,"privilege-escalation,persistence",Windows,Administrator
T1087,Account Discovery,discovery,"Windows,Azure AD,Office 365,SaaS,IaaS,Linux,macOS,Google Workspace",User
T1090,Proxy,command-and-control,"Linux,macOS,Windows,Network",None
T1059,Command and Scripting Interpreter,execution,"Linux,macOS,Windows,Network",None
T1562.006,Indicator Blocking,defense-evasion,"Windows,macOS,Linux",None
T1136.002,Domain Account,persistence,"Windows,macOS,Linux",Administrator
T1589.003,Employee Names,reconnaissance,PRE,None
T1482,Domain Trust Discovery,discovery,Windows,None
T1558.001,Golden Ticket,credential-access,Windows,User
T1020,Automated Exfiltration,exfiltration,"Linux,macOS,Windows,Network",None
T1592.004,Client Configurations,reconnaissance,PRE,None
T1562.007,Disable or Modify Cloud Firewall,defense-evasion,IaaS,User
T1036.002,Right-to-Left Override,defense-evasion,"Linux,macOS,Windows",None
T1588.001,Malware,resource-development,PRE,None
T1542.002,Component Firmware,"persistence,defense-evasion","Windows,Linux,macOS",SYSTEM
T1070,Indicator Removal,defense-evasion,"Linux,macOS,Windows,Containers,Network,Office 365,Google Workspace",None
T1048.001,Exfiltration Over Symmetric Encrypted Non-C2 Protocol,exfiltration,"Linux,macOS,Windows",None
T1137.001,Office Template Macros,persistence,"Windows,Office 365","User,Administrator"
T1583.003,Virtual Private Server,resource-development,PRE,None
T1213.001,Confluence,collection,SaaS,User
T1550.003,Pass the Ticket,"defense-evasion,lateral-movement",Windows,None
T1609,Container Administration Command,execution,Containers,None
T1083,File and Directory Discovery,discovery,"Linux,macOS,Windows,Network",None
T1568,Dynamic Resolution,command-and-control,"Linux,macOS,Windows",User
T1036.004,Masquerade Task or Service,defense-evasion,"Windows,Linux,macOS","User,Administrator,SYSTEM"
T1055.004,Asynchronous Procedure Call,"defense-evasion,privilege-escalation",Windows,None
T1020.001,Traffic Duplication,exfiltration,Network,None
T1647,Plist File Modification,defense-evasion,macOS,None
T1546.009,AppCert DLLs,"privilege-escalation,persistence",Windows,"Administrator,SYSTEM"
T1114.003,Email Forwarding Rule,collection,"Office 365,Windows,Google Workspace,macOS,Linux",User
T1074,Data Staged,collection,"Windows,IaaS,Linux,macOS",None
T1649,Steal or Forge Authentication Certificates,credential-access,"Windows,Linux,macOS,Azure AD",None
T1098.005,Device Registration,persistence,"Azure AD,Windows,SaaS",None
T1049,System Network Connections Discovery,discovery,"Windows,IaaS,Linux,macOS,Network",None
T1584,Compromise Infrastructure,resource-development,PRE,None
T1553.005,Mark-of-the-Web Bypass,defense-evasion,Windows,None
T1600.002,Disable Crypto Hardware,defense-evasion,Network,Administrator
T1542,Pre-OS Boot,"defense-evasion,persistence","Linux,Windows,Network,macOS",None
T1612,Build Image on Host,defense-evasion,Containers,"User,root"
T1055.002,Portable Executable Injection,"defense-evasion,privilege-escalation",Windows,User
T1218.012,Verclsid,defense-evasion,Windows,None
T1586,Compromise Accounts,resource-development,PRE,None
T1569.001,Launchctl,execution,macOS,"User,root"
T1584.005,Botnet,resource-development,PRE,None
T1059.008,Network Device CLI,execution,Network,None
T1552.003,Bash History,credential-access,"Linux,macOS",User
T1562.010,Downgrade Attack,defense-evasion,"Windows,Linux,macOS",None
T1559.003,XPC Services,execution,macOS,None
T1497,Virtualization/Sandbox Evasion,"defense-evasion,discovery","Windows,macOS,Linux",None
T1102,Web Service,command-and-control,"Linux,macOS,Windows",User
T1552.001,Credentials In Files,credential-access,"Windows,IaaS,Linux,macOS,Containers","Administrator,SYSTEM,User"
T1568.003,DNS Calculation,command-and-control,"Linux,macOS,Windows",None
T1218.005,Mshta,defense-evasion,Windows,User
T1547.015,Login Items,"persistence,privilege-escalation",macOS,User
T1608,Stage Capabilities,resource-development,PRE,None
T1608.005,Link Target,resource-development,PRE,None
T1104,Multi-Stage Channels,command-and-control,"Linux,macOS,Windows",None
T1480,Execution Guardrails,defense-evasion,"Linux,macOS,Windows",None
T1619,Cloud Storage Object Discovery,discovery,IaaS,None
T1606.001,Web Cookies,credential-access,"Linux,macOS,Windows,SaaS,IaaS",None
T1134.001,Token Impersonation/Theft,"defense-evasion,privilege-escalation",Windows,None
T1567.001,Exfiltration to Code Repository,exfiltration,"Linux,macOS,Windows",None
T1205.001,Port Knocking,"defense-evasion,persistence,command-and-control","Linux,macOS,Windows,Network",User
T1583.006,Web Services,resource-development,PRE,None
T1528,Steal Application Access Token,credential-access,"SaaS,Office 365,Azure AD,Google Workspace,Containers",None
T1598.002,Spearphishing Attachment,reconnaissance,PRE,None
T1098.001,Additional Cloud Credentials,persistence,"IaaS,Azure AD,SaaS",None
T1204,User Execution,execution,"Linux,Windows,macOS,IaaS,Containers",None
T1491.001,Internal Defacement,impact,"Linux,macOS,Windows",None
T1564.002,Hidden Users,defense-evasion,"macOS,Windows,Linux",None
T1134.003,Make and Impersonate Token,"defense-evasion,privilege-escalation",Windows,"Administrator,User"
T1552.006,Group Policy Preferences,credential-access,Windows,User
T1048.002,Exfiltration Over Asymmetric Encrypted Non-C2 Protocol,exfiltration,"Linux,macOS,Windows",None
T1087.004,Cloud Account,discovery,"Azure AD,Office 365,SaaS,IaaS,Google Workspace",User
T1057,Process Discovery,discovery,"Linux,macOS,Windows","User,Administrator,SYSTEM"
T1562.003,Impair Command History Logging,defense-evasion,"Linux,macOS,Windows,Network",None
T1546.003,Windows Management Instrumentation Event Subscription,"privilege-escalation,persistence",Windows,"Administrator,SYSTEM"
T1596.004,CDNs,reconnaissance,PRE,None
T1497.002,User Activity Based Checks,"defense-evasion,discovery","Linux,macOS,Windows",None
T1585.003,Cloud Accounts,resource-development,PRE,None
T1072,Software Deployment Tools,"execution,lateral-movement","Linux,macOS,Windows","User,Administrator,SYSTEM"
T1041,Exfiltration Over C2 Channel,exfiltration,"Linux,macOS,Windows",None
T1134.004,Parent PID Spoofing,"defense-evasion,privilege-escalation",Windows,"User,Administrator"
T1591,Gather Victim Org Information,reconnaissance,PRE,None
T1606,Forge Web Credentials,credential-access,"SaaS,Windows,macOS,Linux,Azure AD,Office 365,Google Workspace,IaaS",None
T1621,Multi-Factor Authentication Request Generation,credential-access,"Windows,Office 365,Linux,macOS,IaaS,SaaS,Azure AD,Google Workspace",None
T1554,Compromise Client Software Binary,persistence,"Linux,macOS,Windows",None
T1059.001,PowerShell,execution,Windows,None
T1546.001,Change Default File Association,"privilege-escalation,persistence",Windows,"Administrator,SYSTEM,User"
T1055.014,VDSO Hijacking,"defense-evasion,privilege-escalation",Linux,None
T1071.002,File Transfer Protocols,command-and-control,"Linux,macOS,Windows",None
T1212,Exploitation for Credential Access,credential-access,"Linux,Windows,macOS",None
T1546.014,Emond,"privilege-escalation,persistence",macOS,Administrator
